game_id,game_date
1021800098,2018-07-01
1021800101,2018-07-03
1021800107,2018-07-05
1021800111,2018-07-07
1021800118,2018-07-10
1021800125,2018-07-13
1021800129,2018-07-15
1021800135,2018-07-18
1021800141,2018-07-20
1021800148,2018-07-22
1021800153,2018-07-25
1021800155,2018-07-31
1021800172,2018-08-07
1021800179,2018-08-10
1021800184,2018-08-12
1021800189,2018-08-14
1021800198,2018-08-18
1021800202,2018-08-19
1021800003,2018-05-20
1021800014,2018-05-24
1021800019,2018-05-26
1021800034,2018-06-03
1021800039,2018-06-07
1021800045,2018-06-09
1021800054,2018-06-13
1021800059,2018-06-15
1021800062,2018-06-16
1021800078,2018-06-24
1021800082,2018-06-26
1021800086,2018-06-27
1021800099,2018-07-01
1021800103,2018-07-03
1021800108,2018-07-05
1021800112,2018-07-07
1021800119,2018-07-11
1021800124,2018-07-13
1021800132,2018-07-15
1021800140,2018-07-20
1021800146,2018-07-22
1021800149,2018-07-24
1021800157,2018-08-01
1021800165,2018-08-05
1021800175,2018-08-08
1021800188,2018-08-14
1021800193,2018-08-17
1021800199,2018-08-19
1021800001,2018-05-18
1021800012,2018-05-23
1021800024,2018-05-29
1021800032,2018-06-02
1021800042,2018-06-08
1021800051,2018-06-12
1021800058,2018-06-15
1021800067,2018-06-19
1021800071,2018-06-22
1021800076,2018-06-24
1021800084,2018-06-26
1021800087,2018-06-27
1021800095,2018-07-01
1021800105,2018-07-05
1021800114,2018-07-08
1021800117,2018-07-10
1021800122,2018-07-12
1021800127,2018-07-14
1021800133,2018-07-17
1021800138,2018-07-19
1021800159,2018-08-02
1021800166,2018-08-05
1021800185,2018-08-12
1021800195,2018-08-17
1021800203,2018-08-19
1021800004,2018-05-20
1021800009,2018-05-22
1021800015,2018-05-24
1021800031,2018-06-02
1021800046,2018-06-10
1021800050,2018-06-12
1021800069,2018-06-19
1021800075,2018-06-22
1021800090,2018-06-29
1021800102,2018-07-03
1021800121,2018-07-11
1021800130,2018-07-15
1021800136,2018-07-18
1021800142,2018-07-20
1021800147,2018-07-22
1021800150,2018-07-24
1021800164,2018-08-04
1021800171,2018-08-07
1021800180,2018-08-10
1021800182,2018-08-11
1021800191,2018-08-15
1021800006,2018-05-20
1021800021,2018-05-27
1021800035,2018-06-03
1021800041,2018-06-07
1021800057,2018-06-15
1021800077,2018-06-24
1021800089,2018-06-28
1021800093,2018-06-29
1021800096,2018-07-01
1021800106,2018-07-05
1021800110,2018-07-07
1021800116,2018-07-10
1021800131,2018-07-15
1021800160,2018-08-02
1021800167,2018-08-05
1021800174,2018-08-08
1021800186,2018-08-12
1021800190,2018-08-14
1021800194,2018-08-17
1021800010,2018-05-22
1021800022,2018-05-27
1021800027,2018-05-31
1021800030,2018-06-01
1021800048,2018-06-10
1021800055,2018-06-13
1021800064,2018-06-17
1021800068,2018-06-19
1021800073,2018-06-22
1021800079,2018-06-24
1021800126,2018-07-13
1021800139,2018-07-19
1021800158,2018-08-01
1021800178,2018-08-09
1021800192,2018-08-15
1021800016,2018-05-25
1021800020,2018-05-27
1021800028,2018-06-01
1021800040,2018-06-07
1021800061,2018-06-16
1021800074,2018-06-22
1021800083,2018-06-26
1021800144,2018-07-21
1021800151,2018-07-24
1021800163,2018-08-03
1021800187,2018-08-12
1021800204,2018-08-19
1021800037,2018-06-05
1021800081,2018-06-26
1021800088,2018-06-28
1021800100,2018-07-03
1021800104,2018-07-05
1021800143,2018-07-21
1021800169,2018-08-06
1021800197,2018-08-17
1021800201,2018-08-19
1021800008,2018-05-20
1021800013,2018-05-23
1021800026,2018-05-30
1021800094,2018-06-30
1021800156,2018-07-31
1021800173,2018-08-07
1021800025,2018-05-29
1021800115,2018-07-08
1021800176,2018-08-09
1041800311,2018-08-26
1041800312,2018-08-28
1041800313,2018-08-31
1041800314,2018-09-02
1041800315,2018-09-04
1041800211,2018-08-23
1041800101,2018-08-21
1041800111,2018-08-21
1041800201,2018-08-23
1041800301,2018-08-26
1041800302,2018-08-28
1041800303,2018-08-31
1041800304,2018-09-02
1041800305,2018-09-04
1041800401,2018-09-07
1041800402,2018-09-09
1041800403,2018-09-12
1021900001,2019-05-24
1021900009,2019-05-31
1021900013,2019-06-01
1021900020,2019-06-06
1021900026,2019-06-09
1021900041,2019-06-15
1021900046,2019-06-19
1021900050,2019-06-21
1021900055,2019-06-23
1021900069,2019-06-30
1021900074,2019-07-02
1021900078,2019-07-05
1021900084,2019-07-07
1021900086,2019-07-10
1021900091,2019-07-12
1021900096,2019-07-14
1021900101,2019-07-17
1021900106,2019-07-19
1021900110,2019-07-21
1021900113,2019-07-23
1021900121,2019-07-31
1021900126,2019-08-03
1021900132,2019-08-06
1021900139,2019-08-10
1021900146,2019-08-13
1021900154,2019-08-16
1021900160,2019-08-20
1021900167,2019-08-23
1021900170,2019-08-25
1021900182,2019-08-29
1021900188,2019-09-01
1021900191,2019-09-03
1021900193,2019-09-05
1021900199,2019-09-08
1021900005,2019-05-25
1021900014,2019-06-01
1021900019,2019-06-05
1021900030,2019-06-09
1021900033,2019-06-11
1021900040,2019-06-15
1021900047,2019-06-19
1021900051,2019-06-21
1021900056,2019-06-23
1021900061,2019-06-26
1021900066,2019-06-28
1021900071,2019-06-30
1021900073,2019-07-02
1021900083,2019-07-07
