player_id,name,name_last,name_i
229,James Edwards,Edwards,J. Edwards
234,Khalid Reeves,Reeves,K. Reeves
236,Kevin Edwards,Edwards,K. Edwards
238,Tyrone Hill,Hill,T. Hill
239,Darrick Martin,Martin,D. Martin
240,Brooks Thompson,Thompson,B. Thompson
241,Darrin Hancock,Hancock,D. Hancock
243,Aaron McKie,McKie,A. McKie
244,Dee Brown,Brown,D. Brown
246,Greg Anderson,Anderson,G. Anderson
247,Joe Dumars,Dumars,J. Dumars
248,George Lynch,Lynch,G. Lynch
251,Sean Elliott,Elliott,S. Elliott
252,Karl Malone,Malone,K. Malone
255,Grant Hill,Hill,G. Hill
258,Brian Grant,Grant,B. Grant
262,Michael Cage,Cage,M. Cage
265,Harvey Grant,Grant,H. Grant
270,Horace Grant,Grant,H. Grant
271,Johnny Newman,Newman,J. Newman
273,Duane Ferrell,Ferrell,D. Ferrell
275,Allan Houston,Houston,A. Houston
278,Stacey Augmon,Augmon,S. Augmon
279,Charles Jones,Jones,C. Jones
280,Felton Spencer,Spencer,F. Spencer
281,Scott Williams,Williams,S. Williams
283,Lindsey Hunter,Hunter,L. Hunter
285,Greg Grant,Grant,G. Grant
287,Eric Leckner,Leckner,E. Leckner
288,Armen Gilliam,Gilliam,A. Gilliam
289,Ledell Eackles,Eackles,L. Eackles
291,Ed Pinckney,Pinckney,E. Pinckney
292,Anthony Miller,Miller,A. Miller
293,Charles Smith,Smith,C. Smith
296,Rick Fox,Fox,R. Fox
297,Alonzo Mourning,Mourning,A. Mourning
299,Glenn Robinson,Robinson,G. Robinson
302,Mookie Blaylock,Blaylock,M. Blaylock
304,John Stockton,Stockton,J. Stockton
305,Robert Parish,Parish,R. Parish
306,Steve Colter,Colter,S. Colter
308,Derrick Alston,Alston,D. Alston
310,Bobby Hurley,Hurley,B. Hurley
313,Vern Fleming,Fleming,V. Fleming
316,Richard Manning,Manning,R. Manning
317,John Starks,Starks,J. Starks
320,Jamie Watson,Watson,J. Watson
321,Scott Haskin,Haskin,S. Haskin
323,Greg Foster,Foster,G. Foster
324,Anthony Peeler,Peeler,A. Peeler
328,Rick Mahorn,Mahorn,R. Mahorn
330,Danny Manning,Manning,D. Manning
333,Kevin Gamble,Gamble,K. Gamble
335,Willie Anderson,Anderson,W. Anderson
339,Tom Gugliotta,Gugliotta,T. Gugliotta
340,Kevin Pritchard,Pritchard,K. Pritchard
341,Joe Wolf,Wolf,J. Wolf
342,Andy Toolson,Toolson,A. Toolson
344,Dana Barros,Barros,D. Barros
