player_id,name,name_last,name_i,team,end_year,window,seasons,total_poss,off_poss,def_poss,ORAPM,DRAPM,RAPM,core_alpha,off_ts_rapm,def_ts_rapm,off_tov_rapm,def_tov_rapm,off_reb_rapm,def_reb_rapm,off_ts_pts,def_ts_pts,off_tov_pts,def_tov_pts,off_reb_pts,def_reb_pts,stage2_r2
1642815,Makayla Timpson,Timpson,M. Timpson,IND,2026,1Y,2026,2012.8,1000.6,1012.2,2.41,-0.46,1.94,2000.0,0.0167,0.0009,-0.0408,-0.6686,-0.2295,-0.2431,2.78,0.1,-0.08,-1.25,-0.14,0.4,0.9292
1641648,Aliyah Boston,Boston,A. Boston,IND,2026,1Y,2026,2806.0,1398.9,1407.1,1.08,0.82,1.9,2000.0,0.0081,0.0002,-0.1116,0.0953,-0.5969,-0.3473,1.35,0.02,-0.23,0.18,-0.37,0.57,0.9292
94433790,Azzi Fudd,Fudd,A. Fudd,DAL,2026,1Y,2026,3262.7,1640.9,1621.7,1.31,0.56,1.87,2000.0,0.0047,0.0023,0.5982,-0.3585,-0.5973,-0.5012,0.78,0.24,1.22,-0.67,-0.37,0.83,0.9292
1628899,Myisha Hines-Allen,Hines-Allen,M. Hines-Allen,IND,2026,1Y,2026,1491.9,748.3,743.6,0.71,1.06,1.77,2000.0,0.0064,0.0038,-0.0108,-0.1625,-0.6188,-0.4213,1.07,0.4,-0.02,-0.3,-0.38,0.7,0.9292
1641652,Maddy Siegrist,Siegrist,M. Siegrist,DAL,2026,1Y,2026,1469.1,736.3,732.8,1.67,0.09,1.76,2000.0,-0.0006,-0.0007,0.466,0.0875,1.3657,0.1635,-0.1,-0.07,0.95,0.16,0.84,-0.27,0.9292
1629483,Napheesa Collier,Collier,N. Collier,MIN,2026,1Y,2026,828.1,413.6,414.5,0.97,0.73,1.71,2000.0,0.0063,-0.0,0.395,0.4443,-0.87,0.3109,1.05,-0.0,0.81,0.83,-0.53,-0.51,0.9292
1642792,Kiki Iriafen,Iriafen,K. Iriafen,WAS,2026,1Y,2026,2772.3,1378.5,1393.8,0.0,1.7,1.7,2000.0,0.0004,0.008,-0.5765,-0.5971,0.9275,-1.0949,0.07,0.85,-1.18,-1.12,0.57,1.81,0.9292
1627668,Breanna Stewart,Stewart,B. Stewart,NYL,2026,1Y,2026,3925.9,1966.5,1959.4,1.29,0.34,1.63,2000.0,0.0096,0.0014,0.0728,-0.7053,-0.8986,-0.7854,1.6,0.15,0.15,-1.32,-0.55,1.3,0.9292
1628931,Gabby Williams,Williams,G. Williams,GSV,2026,1Y,2026,2419.8,1210.2,1209.5,0.52,1.09,1.61,2000.0,-0.0012,0.0015,0.5749,0.4215,-0.2268,-0.011,-0.2,0.16,1.17,0.79,-0.14,0.02,0.9292
1642784,Paige Bueckers,Bueckers,P. Bueckers,DAL,2026,1Y,2026,3627.6,1828.0,1799.6,2.5,-0.9,1.6,2000.0,0.0095,-0.0019,0.6005,-0.2314,-0.6562,-0.0208,1.58,-0.2,1.23,-0.43,-0.4,0.03,0.9292
1631086,Lexie Hull,Hull,L. Hull,IND,2026,1Y,2026,2309.9,1143.6,1166.3,1.88,-0.34,1.54,2000.0,0.0081,-0.0012,0.0239,-0.2364,0.5177,-0.2999,1.35,-0.13,0.05,-0.44,0.32,0.49,0.9292
1642767,Janelle Salaün,Salaün,J. Salaün,GSV,2026,1Y,2026,2427.4,1214.3,1213.1,2.24,-0.74,1.5,2000.0,0.0089,-0.0031,0.1849,0.0763,1.0563,0.378,1.48,-0.33,0.38,0.14,0.65,-0.62,0.9292
