name,season,team,games,minutes,poss,pts,fg2a,fg3a,fta,orb,drb,ast,stl,blk,tov,pf,pts100,fg2a100,fg3a100,fta100,orb100,drb100,ast100,stl100,blk100,tov100,pf100,dre,dre_rapm_scale,dre_total,dre_rank
Julie Allemand,2026,TOR,22,638.0,1313.2668617130232,140.0,37.0,62.0,8.0,4.0,66.0,121.0,33.0,10.0,39.0,40.0,10.66043803293599,2.8174014801330824,4.721051128871652,0.6091678875963422,0.3045839437981711,5.025635072669823,9.213664299894676,2.5128175363349117,0.7614598594954278,2.9696934520321685,3.0458394379817113,6.758,2.54,88.75,21
Gabby Williams,2026,GS,27,691.0,1365.8380738245728,404.0,201.0,147.0,91.0,21.0,70.0,64.0,44.0,5.0,44.0,39.0,29.578908930890545,14.716239344329207,10.76262280406166,6.662576021561979,1.53751754343738,5.1250584781246005,4.685767751428205,3.2214653291068913,0.36607560558032853,3.2214653291068913,2.855389723526563,6.503,2.444,88.82,22
Natasha Mack,2026,PHX,22,519.0,1043.750950450171,193.0,126.0,7.0,36.0,59.0,104.0,31.0,17.0,28.0,23.0,53.0,18.491001125963898,12.07184529467073,0.6706580719261517,3.4490986556202086,5.6526894633775635,9.964062782902824,2.9700571756729572,1.6287410318206539,2.6826322877046067,2.2035908077573554,5.0778396874408624,6.39,2.402,66.7,23
Marina Mabrey,2026,TOR,28,814.0,1697.076779178531,588.0,201.0,239.0,122.0,19.0,79.0,103.0,29.0,10.0,89.0,69.0,34.647813653111264,11.843895483461504,14.083039903220396,7.188832084489071,1.1195722098794456,4.655063398972432,6.069259874609626,1.7088207413949434,0.5892485315154977,5.24431193048793,4.065814867456934,6.299,2.368,106.9,24
Jonquel Jones,2026,NY,31,906.0,1851.961419770996,449.0,162.0,146.0,121.0,64.0,219.0,92.0,20.0,33.0,66.0,95.0,24.244565529638358,8.74748244053767,7.883533557521603,6.533613427809,3.4557955320642644,11.825300336282405,4.96770607734238,1.0799361037700828,1.7818945712206367,3.5637891424412733,5.129696492907893,6.291,2.365,116.51,25
Natisha Hiedeman,2026,SEA,31,914.0,1887.7300527018926,507.0,218.0,185.0,89.0,7.0,79.0,142.0,36.0,5.0,73.0,55.0,26.857653681697496,11.548261346370916,9.800130041645044,4.714657155169777,0.37081573130548817,4.184920396161938,7.522261977911331,1.9070523324282247,0.2648683795039201,3.867078340757234,2.913552174543121,6.08,2.285,114.77,26
Sonia Citron,2026,WSH,26,857.0,1712.168469531661,441.0,186.0,102.0,163.0,21.0,76.0,97.0,30.0,20.0,66.0,52.0,25.75681119280448,10.863416965672638,5.957357690852737,9.520091211852902,1.2265148187049753,4.438815534360863,5.665330353065837,1.752164026721393,1.1681093511475953,3.8547608587870643,3.037084312983748,5.971,2.244,102.23,27
Nyara Sabally,2026,TOR,19,447.0,914.6868543513766,220.0,118.0,31.0,62.0,30.0,58.0,32.0,17.0,18.0,24.0,56.0,24.05194728156518,12.900589905566779,3.3891380260387303,6.7782760520774605,3.2798109929407064,6.340967919685365,3.4984650591367537,1.8585595626664004,1.9678865957644238,2.6238487943525652,6.1223138534893184,5.908,2.221,54.04,28
Dearica Hamby,2026,LA,27,799.0,1692.7047157747636,396.0,251.0,31.0,124.0,55.0,143.0,66.0,44.0,11.0,53.0,80.0,23.39451153586158,14.828339382578928,1.8313885293224974,7.32555411728999,3.2492377133141077,8.44801805461668,3.8990852559769293,2.5993901706512865,0.6498475426628216,3.1310836146481407,4.726163946638703,5.843,2.196,98.9,29
Janelle Salaun,2026,GS,28,625.0,1218.32632756728,358.0,95.0,175.0,82.0,30.0,80.0,32.0,19.0,4.0,22.0,66.0,29.384573894487236,7.797582458034322,14.3639676858527,6.730544858513836,2.4623944604318915,6.566385227818376,2.6265540911273506,1.5595164916068645,0.3283192613909188,1.8057559376500536,5.41726781295016,5.736,2.156,69.88,30
Bridget Carleton,2026,POR,28,850.0,1728.3979486987175,395.0,119.0,199.0,65.0,18.0,89.0,61.0,44.0,12.0,34.0,61.0,22.853533255891044,6.884988499876036,11.51355219727169,3.760708004133969,1.0414268319140223,5.149277113352666,3.529279819264186,2.5457100335676097,0.6942845546093481,1.967139571393153,3.529279819264186,5.709,2.146,98.67,31
Olivia Nelson-Ododa,2026,CON,25,534.0,1100.1957199646713,248.0,162.0,1.0,95.0,42.0,106.0,48.0,23.0,24.0,38.0,79.0,22.541443808558316,14.724652810429223,0.09089291858289644,8.634827265375161,3.8175025804816505,9.634649369787022,4.362860091979029,2.090537127406618,2.1814300459895146,3.453930906150065,7.180540568048818,5.646,2.122,62.12,32
Cheyenne Parker-Tyus,2026,LV,24,262.0,530.0413407526489,121.0,70.0,14.0,43.0,20.0,45.0,16.0,10.0,15.0,12.0,40.0,22.828408031000418,13.206517042727514,2.641303408545503,8.112574754818331,3.7732905836364328,8.489903813181973,3.018632466909146,1.8866452918182164,2.8299679377273246,2.2639743501818597,7.5465811672728655,5.435,2.043,28.81,33
Leila Lacan,2026,CON,20,579.0,1181.6887370692614,251.0,151.0,69.0,53.0,13.0,28.0,91.0,40.0,6.0,42.0,63.0,21.240788045633064,12.778322688807142,5.839101096209886,4.485106639117738,1.1001204963873699,2.369490299911258,7.700843474711588,3.384986142730369,0.5077479214095553,3.5542354498668876,5.331353174800331,5.273,1.982,62.31,34
Brittney Sykes,2026,TOR,15,477.0,980.8068026005155,301.0,169.0,59.0,104.0,15.0,42.0,52.0,20.0,7.0,35.0,39.0,30.689020427053244,17.2307124656877,6.015455831216417,10.603515363500124,1.5293531774279026,4.282188896798127,5.301757681750062,2.03913756990387,0.7136981494663545,3.5684907473317726,3.9763182613125467,5.22,1.962,51.2,35
Carla Leite,2026,POR,27,702.0,1424.9292782319558,414.0,221.0,58.0,165.0,19.0,43.0,166.0,16.0,1.0,92.0,72.0,29.054073512594876,15.509541657689535,4.070377448624403,11.579522052121145,1.333399509032132,3.0176936257042986,11.649700973649153,1.1228627444481112,0.07017892152800695,6.45646078057664,5.0528823500165,5.155,1.938,73.46,36
